		"Suspension"				"Biofilm"			
"alaT_b3853_s_at"	"alaT"	5807.5	1512.9	1861.8	2983.8	10975.6	2136.9	2189.5	2458.9
"alaU_b3276_s_at"	"alaT"	3414.5	1062.2	1318.1	2210.8	7081.7	1460.1	1689.7	1548.6
"alaW_b2397_s_at"	"alaW"	1712.8	873.8	1357.2	2414.9	2439.9	1228.5	1645.5	501.1
"alaX_b2396_s_at"	"alaW"	1816.1	700.5	830.9	1423.8	2612.3	769.6	1054.5	698.9
"aldA_b1415_at"	"aldA"	3893.3	1405.6	1051.8	1545.5	2214	1555.8	870	1315.5
"aldB_b3588_at"	"aldB"	2254	3724.1	2034	3582.2	1554.7	3040.5	1683.9	2827.2
"aldH_b1300_at"	"aldH"	26.9	35.2	95.1	78.9	25	26.4	61.9	108.8
"alkA_b2068_at"	"alkA"	369.1	405.6	372.4	627.7	367.3	351.9	480.7	380.9
"alkB_b2212_at"	"alkB"	220.2	210.2	283.8	289	191.5	162.8	286.2	382.8
"alpA_b2624_at"	"alpA"	30.1	16.1	28.3	52.8	80.2	27.1	27.6	282.4
"alr_b4053_at"	"alr"	210	223.8	327.8	426.8	163.3	268	316.6	479.4
"yjcW_b4087_at"	"alsA"	305.2	180.2	425.9	666.4	126.5	383.4	416.5	514.5
"yjcU_b4085_at"	"alsE"	396.4	142.3	309.8	319.1	168.7	347.1	337.8	495.3
"yjcT_b4084_at"	"alsK"	351	142.5	279.3	262.5	203.3	236.4	285.6	557.3
"amiA_b2435_at"	"amiA"	315.3	422.6	331.3	410.3	573.1	495.9	330.2	434.8
"amiB_b4169_at"	"amiB"	975.3	1091	899.5	675.2	1028.5	1208.8	860.9	619.6
"b2817_at"	"amiC"	618.5	488.3	540.1	631.5	733	583.3	476.5	605.8
"amn_b1982_at"	"amn"	611.6	349.8	158.7	273.2	518.4	333.7	222.6	316.3
"IG_1321_2052982_2053082_fwd_at"	"amn"	173.1	354.9	290.4	258.1	177.9	365.5	446.7	373.1
"ampC_b4150_at"	"ampC"	157.7	123.6	249	299.4	159.5	181.5	175	320
"ampD_b0110_at"	"ampD"	219.9	331.3	312.2	238.1	175.1	287.1	211.3	278.5
"ampE_b0111_at"	"ampE"	282.2	495.1	431	249.4	294.2	392.7	476.2	617
"ampG_b0433_at"	"ampG"	171.1	189.1	163.3	473.4	172.3	239	311.3	428.1
"amtB_b0451_at"	"amtB"	9.4	40.3	68	78.9	17.4	35.1	46.1	87.7
"amyA_b1927_at"	"amyA"	2055.3	1431.6	975.3	722.5	1583.9	1137.1	1026	892.3
"b1640_at"	"anmK"	459.2	429.8	460.8	750.7	414.6	356.6	495.4	661.5
"ansA_b1767_at"	"ansA"	522.9	529.3	474.4	298.1	579.7	360.3	428.7	334
"ansB_b2957_at"	"ansB"	1904.6	300.3	51.9	63.7	861.7	370.4	170.9	167.9
"ansP_b1453_at"	"ansP"	60.9	16.1	100.7	147.1	58.4	71.4	91.6	271.4
"apaG_b0050_at"	"apaG"	840.7	2033.4	3227.2	2765.5	1084.3	1291.7	3781.3	1858.6
"apaH_b0049_at"	"apaH"	392.6	448.2	697.5	362.9	381.5	294.5	531.1	440.1
"aphA_b4055_at"	"aphA"	999.9	381.4	351.5	428	487.6	546.8	258.5	602.2
"appA_b0980_at"	"appA"	426.4	1291.6	586.5	440.6	965.7	1115.8	626.5	422.4
"appB_b0979_at"	"appB"	349.3	1753.6	718.2	244.4	947.6	1617.7	712.6	217.5
"appC_b0978_at"	"appC"	916.5	3670.2	1643.3	553.6	1883.6	3788.2	1546.5	550
"appY_b0564_at"	"appY"	5.5	2.2	24	2.3	5.4	19.2	47.8	33.8
"apt_b0469_at"	"apt"	258.2	264.5	143.8	255.7	668.3	320.8	281.1	344.6
"aqpZ_b0875_at"	"aqpZ"	83.5	178.9	263.7	252.1	113.5	153.2	226.5	454.1
"araA_b0062_at"	"araA"	52.8	87.5	74.6	255.3	15.7	129.1	65.4	144.8
"araB_b0063_at"	"araB"	64.6	140.2	169.1	168.2	33.3	244.2	221.7	172.4
"araC_b0064_at"	"araC"	719.8	473	320.7	528.3	534.3	510.6	265.2	409.4
"araD_b0061_at"	"araD"	274	324.6	323.3	607	196.7	374.6	567	809.6
"araE_b2841_at"	"araE"	355.5	230.8	395.1	448.4	244.4	322.9	371.7	465.6
"araF_b1901_at"	"araF"	532.9	347.7	266.9	487.3	298.4	293.6	308.7	388.5
"araG_b1900_at"	"araG"	394.1	301.2	291.4	388.2	256.3	285.2	231.2	358.1
"araH_1_b1899_at"	"araH"	262.4	229.7	303.2	310.2	253.3	283.1	265.2	477.6
"araH_2_b1898_at"	"araH"	258.8	184.4	211.9	234.4	181.3	177.5	317.8	342.2
"araJ_b0396_at"	"araJ"	179.4	124.5	142.4	515.3	105	220.9	232.7	512.5
"IG_266_411706_411830_rev_at"	"araJ"	97.4	66.7	85.9	126.5	126.4	151.5	158.5	270
"arcA_b4401_at"	"arcA"	1568.9	1687.2	1637.5	940.2	1775.8	1316.1	1389.9	966.1
"arcB_b3210_at"	"arcB"	685.2	659.5	737.6	1026.2	637.1	572.8	684.3	734.5
"arcC_b0521_at"	"arcC"	108.3	61.5	154.8	116.8	121.1	116.4	188.5	207.3
"argA_b2818_at"	"argA"	221.9	172	205.3	305.5	189.5	301	285.2	476.3
"argB_b3959_at"	"argB"	783.2	734.1	1369.4	653.4	867	819.8	1374.8	678.5
"argC_b3958_at"	"argC"	114.8	148.3	109.4	158.1	160	208	204.3	206.4
"argD_b3359_at"	"argD"	262.3	269.3	251.7	401.9	239.5	230.8	423.8	368.6
"argE_b3957_at"	"argE"	506	558	700.1	631.6	602.2	630.5	662.6	610
"argF_b0273_at"	"argF"	53.4	26.6	33.6	290.6	44.2	18.1	47	156.2
"argG_b3172_at"	"argG"	300.6	208.2	173.6	59.9	292.5	199.5	304.7	306
"argH_b3960_at"	"argH"	176.1	219.7	274.3	285.9	45.4	395.4	229.1	376.1
"argI_b4254_at"	"argI"	241.9	126.5	350	309.8	282.3	244.7	395.9	535.3
"yggA_b2923_at"	"argO"	144.2	105.1	157.2	253.5	270	178.2	180.5	216.2
"argR_b3237_at"	"argR"	667.4	387.9	338.2	546.2	381.9	406.9	261.7	607.7
"argS_b1876_at"	"argS"	297.5	176.2	66.7	143.7	264.9	207.6	134.4	354.5
"argT_b2310_at"	"argT"	1483.9	876.7	1266.2	2526.9	875.8	815.9	1248.7	1906.5
"argQ_b2691_s_at"	"argV"	256.4	371.2	209.9	759.9	777.1	575.9	705.7	615.8
"argV_b2694_s_at"	"argV"	274.9	591	434.8	882.1	663.9	895.2	902.8	773.6
"argW_b2348_at"	"argW"	7.9	4.7	12.8	15.2	47	34.2	11.5	14.8
"argX_b3796_at"	"argX"	165.2	29.2	42.9	57.5	265.3	127.2	41.8	33
"argZ_b2692_s_at"	"argZ"	118.1	305.6	235.2	537.5	501.8	613.6	513.8	382.5
"ymgB_b1166_at"	"ariR"	587	1191.9	6890.3	2560.9	972.5	419	4562.9	2288.4
"b2257_at"	"arnT"	360.7	298	434.7	543.7	364.2	327.2	407.8	619.5
"aroA_b0908_at"	"aroA"	433.7	635.9	639.2	623.3	599.7	480.3	544.3	693.5
"aroB_b3389_at"	"aroB"	981.6	1135.7	976.3	446.2	1299.1	1194.9	889.9	433.5
"aroC_b2329_at"	"aroC"	752.9	788.5	496.8	442.8	643.2	639.8	415.4	479.1
"aroD_b1693_at"	"aroD"	282.3	274.5	287.2	373.5	314.2	299.9	389	503.6
"aroE_b3281_at"	"aroE"	264.2	260.6	215	193.6	306.2	425.6	270.3	332.7
"ydiB_b1692_at"	"aroE"	96.2	86.9	116.3	254.5	75.2	184.8	194.3	322.3
"aroF_b2601_at"	"aroF"	317.5	415.8	500.8	310.2	321.1	587	431.3	400.4
"IG_1699_2739171_2742202_rev_at"	"aroF"	78.7	102.3	145.5	177.7	89.9	150.2	169.2	248.8
"aroG_b0754_at"	"aroG"	558.7	1283	910.3	621.7	494.6	1351.3	687.3	632.1
"aroH_b1704_at"	"aroH"	159.1	138	133.3	263.1	763.7	227.4	214	405
"aroK_b3390_at"	"aroK"	1188.8	1555.7	1525.4	751	1748.9	1428.6	1213.6	799
"aroL_b0388_at"	"aroL"	488.3	693.4	513.2	862.3	1143	642.8	410.6	864.4
"aroM_b0390_at"	"aroM"	133.7	299.9	418	304.7	284.2	340.8	304.8	384
"aroP_b0112_at"	"aroP"	233.1	219.3	298.3	281	296.7	174.3	287.7	470.5
"arp_b4017_at"	"arpA"	37.2	57.1	69.1	85.1	61.6	148.8	67.3	206.7
"arsB_b3502_at"	"arsB"	57.3	57.3	158.2	265.6	41.8	74	133.7	245.4
"arsC_b3503_at"	"arsC"	220.1	122	209.8	377.1	468.7	123.9	321.5	330.1
"arsR_b3501_at"	"arsR"	276.4	109	74.4	268.4	168.3	132.3	248.7	450.4
"artI_b0863_at"	"artI"	3212.6	2731.8	2488.6	1949.8	1763.1	2060.5	1533.6	1373.2
"artJ_b0860_at"	"artJ"	154.5	26.3	38.1	47	197.2	74.1	31.1	76.9
"artM_b0861_at"	"artM"	652.3	749.8	546.4	721.5	815.9	828.8	434.1	590.9
"artP_b0864_at"	"artP"	2484.9	3121.5	6277	5157.9	2318.1	2194.8	4043.7	4043
"artQ_b0862_at"	"artQ"	904.9	1132	718.2	526.2	739.5	1064.7	477.1	338.2
"ascB_b2716_at"	"ascB"	251.7	164.8	245.9	410.4	269.6	243.6	235.4	309.9
"ascF_b2715_at"	"ascF"	153.9	349.3	313.2	463	120.2	457.6	399	480.7
"ascG_b2714_at"	"ascG"	118	97	13.9	23.9	209.2	250	200.8	259.4
"asd_b3433_at"	"asd"	1642.1	1170	1041.7	1022.6	1162.1	1933.1	959.3	800
"aslA_b3801_at"	"aslA"	182.5	242.3	422.4	400.1	135	270.7	343.7	519.2
"aslB_b3800_at"	"aslB"	166.9	173	286	335.3	151.9	124.9	261.7	422.2
"asmA_b2064_at"	"asmA"	646.1	544.1	319.8	411.2	370.7	541.7	399.5	500.8
"asnA_b3744_at"	"asnA"	392.9	285.4	688.2	722.5	369.6	521.9	564.9	621.2
"asnB_b0674_at"	"asnB"	405.7	189.5	314.9	277	173.5	225.5	274.3	254.1
"asnC_b3743_at"	"asnC"	148.8	137.1	230.2	190.3	242.3	226.3	214.2	372.2
"asnS_b0930_at"	"asnC"	637	450.2	423.9	413.2	568.6	433.7	406	490.2
"asnU_b1986_s_at"	"asnU"	923.7	1566.2	1689.2	3714.8	1025	1759.5	2631.5	2424.7
"asnV_b1989_s_at"	"asnV"	2080.4	2215.9	1876.6	4406.6	1924.6	1902.6	2768.2	2541.6
"asnT_b1977_s_at"	"asnW"	590.3	959.4	834.2	1830.6	833.1	884.3	1509.2	1309.7
"asnW_b1984_s_at"	"asnW"	768.8	1574.8	1588.6	2793.4	1120.2	1472.5	2381.9	1687.9
"aspA_b4139_at"	"aspA"	3771.6	3653.4	944.4	2029	2345.6	3692.2	1051.5	2050.1
"aspC_b0928_at"	"aspC"	1927.5	727.3	386.7	612.6	1504.6	763.9	281	612.8
"aspS_b1866_at"	"aspS"	2118.3	2378.2	1821.4	970.5	1348.8	1656.9	1883.6	743.6
"aspT_b3760_s_at"	"aspT"	4238.3	6001.7	1853	2630.7	6501.8	2684.1	3553.6	661.8
"aspU_b0206_s_at"	"aspT"	2505.2	2342.5	793	1897	2607.3	1351.7	1720	648.7
"aspV_b0216_s_at"	"aspV"	1957.5	2141.3	616.5	2041.1	6463.6	1598.8	2311.7	790.1
"asr_b1597_at"	"asr"	1053.7	579.8	700.5	1067.3	1071.6	812.7	863.6	1114.1
"b1745_at"	"astB"	287.5	503.4	2316.1	2855.6	120.3	616.2	1821.9	2219.1
"cstC_b1748_at"	"astC"	729.3	984.2	9823.9	14223.4	286.7	1218.1	8015.3	10727.8
"b1746_at"	"astD"	322.3	485.8	2976.3	3468.9	195.7	644.6	2432.7	2709.1
"atoA_b2222_at"	"atoA"	596.7	133.6	201.8	262.3	2388.7	312.6	266.1	429.8
"atoB_b2224_at"	"atoB"	150.9	156.1	243.2	381.2	566.2	241	252.7	565.5
"atoC_b2220_at"	"atoC"	217.3	287.8	277.5	320.1	198.6	307.4	143.9	333.3
"atoD_b2221_at"	"atoD"	798.9	129.9	29.7	169.2	3240	169	243.6	330.5
"atoE_b2223_at"	"atoE"	391.5	170.3	128.1	296.7	1133	154.1	192.5	492.7
"atoS_b2219_at"	"atoS"	320.4	291.2	232.4	305.3	220.9	344.8	335.8	417.7
"atpA_b3734_at"	"atpA"	3520.9	1418.5	527.2	610.3	2469.3	1804.5	639.9	532
"atpB_b3738_at"	"atpB"	3787.9	1611	655.8	768.9	3229.9	1881.5	666.2	699.8
"atpC_b3731_at"	"atpC"	920.8	667.5	374.5	401.2	900.7	698.2	293.8	503.4
"atpD_b3732_at"	"atpD"	1680.2	598.9	289.9	348.1	1163.4	972.7	323.4	316.3
"atpE_b3737_at"	"atpE"	5982.3	3129.5	1296.1	1957.7	5587	3696.6	1383.3	1776.5
"atpF_b3736_at"	"atpF"	4760.8	2226.9	750.8	913.8	3843.3	2520.5	737.2	720.6
"atpG_b3733_at"	"atpG"	4388.7	1054.1	482.3	676	2562.2	1178.3	303.3	445.7
"atpH_b3735_at"	"atpH"	6622.5	3157.4	1300.4	1971.4	4816.6	3906.1	1550	1479.3
"atpI_b3739_at"	"atpI"	1048.5	1021.3	585.9	995.4	1236	995	718.4	828.9
"avtA_b3572_at"	"avtA"	350.9	309.2	293.1	107	370.7	419.7	247.9	331.1
"IG_2308_3737157_3737333_fwd_at"	"avtA"	69.9	189.4	210.2	420.5	120.3	293.7	379.9	495.1
"acpD_b1412_at"	"azoR"	489.4	220.4	185.9	230.9	295.3	167.3	160.7	402.6
"yi82_1_b0017_s_at"	"b0017"	278.2	360.5	365.3	565.6	307.9	602.5	532.2	967.6
"b0105_at"	"b0105"	122.9	161.4	215.7	321.6	122.7	95.3	248.5	390.7
"b0165_at"	"b0165"	440.4	507	604	724.9	541.5	670.6	716.6	770.6
"yi91a_b0255_at"	"b0255"	196.3	360.1	447.8	506.4	72.7	512.6	598.6	546.2
"b0257_at"	"b0257"	289.7	308.5	419.4	343.2	263.4	209.2	269.2	432.4
"b0302_at"	"b0302"	9.5	107.3	205.5	254.9	7.1	63.5	108.8	295.3
"b0309_at"	"b0309"	27.1	48.1	67.5	30.4	35.9	36.4	115	374.3
"b0332_at"	"b0332"	173.7	272.5	316.8	433.7	90.7	144.6	323.4	415.8
"b0362_at"	"b0362"	228	354	413.6	825.9	329.3	445.4	525.4	683.5
"b0370_at"	"b0370"	1.9	7.2	31.6	41.4	8.2	52.3	26	82.1
"b0395_f_at"	"b0395"	691.8	605.2	624.2	942.7	786.4	402.3	458.2	844.8
"b0538_at"	"b0538"	92.8	119.6	137.3	191.3	98.7	133.2	285.7	385.2
"b0663_at"	"b0663"	9.2	15	16.7	219.5	9.9	76.2	70.6	207.9
"b0667_at"	"b0667"	144.1	344.6	240.5	199.7	138.3	215	178.4	227.2
"b0669_at"	"b0669"	130.8	506.4	429.2	302.6	359.5	265.6	381.7	284.7
"b0671_at"	"b0671"	109.9	344.1	222.3	296.5	132.1	306.2	313.5	303.3
"ycdF_b1005_at"	"b1005"	1802.6	18439.1	53153.4	8685.6	2062.8	7649.7	70526.3	6154.8
"ycdV_b1031_s_at"	"b1031"	9.3	48	53	146.1	18.5	132.1	133	147.8
"b1052_at"	"b1052"	70.8	181.2	122.5	212.5	136.4	118.9	170.2	216.9
"ymfH_b1142_at"	"b1142"	123.5	201	271.2	457	159.2	219.6	311.1	494.1
"b1364_at"	"b1364"	185.8	203.4	247.6	328.7	214.2	211.5	342.1	542.6
"b1367_at"	"b1367"	45.4	50.7	43.1	153.8	52.7	87.3	80.4	261.8
"b1903_at"	"b1903"	104.1	70.2	231.9	274	208.8	157.8	241.2	310.4
"yedM_b1935_at"	"b1935"	28.4	54.6	114.2	180.1	17.1	73.5	118.4	280.8
"b2084_at"	"b2084"	135.3	134.7	158.1	270.8	149.8	194.2	210.7	321.3
"b2639_at"	"b2639"	164.3	254.4	384.7	388.6	306.5	340.3	391	646.7
"b2640_at"	"b2640"	9.7	58	24.9	111.6	82.6	196.5	175.2	304.7
"b2649_at"	"b2649"	6.8	35.6	55.5	92.3	20.7	77.5	62.4	214.2
"b2651_at"	"b2651"	25.1	73	149.6	218	6.5	131.5	277.5	468.3
"b2653_at"	"b2653"	30	23.1	26	92	41.9	62.5	218.8	201.6
"b2654_at"	"b2654"	47	32.5	82.9	118.7	41.3	108.1	147.7	126.7
"b2657_at"	"b2657"	27.4	36.2	9.2	144.4	36.6	54.7	48.7	130.6
"b2857_at"	"b2857"	6.9	2.5	5.5	25.2	4.5	15.6	48.6	53.6
"b3122_f_at"	"b3122"	193.8	185.6	231.1	328.2	139.5	218.9	285.8	658.9
"b3254_at"	"b3254"	87.9	43.7	185.2	143.3	97.7	93.7	81.5	195.6
"b3837_at"	"b3837"	699.5	471.1	523.2	354.1	656.4	550.4	591.9	457.9
"phnQ_b4091_at"	"b4091"	130.5	160.6	201.1	236.6	250.9	287.9	306.7	318.1
"yjgG_b4247_at"	"b4247"	42	37.5	59.3	107.5	28.8	50.6	91.8	170.1
"yi91b_b4283_at"	"b4283"	93.5	53.6	92.5	224.7	155.8	160.2	218.7	391.1
"b4285_at"	"b4285"	254.4	105.8	223.1	353.4	285.1	241.2	355.7	549.7
"yjiP_b4338_at"	"b4338"	49.2	12.3	19	21.7	59.7	87.3	22.8	166.5
"baeR_b2079_at"	"baeR"	445.2	658	757	1022.8	542	989.8	666	951.3
"baeS_b2078_at"	"baeS"	314.4	493.4	438.2	513.2	333.6	525.6	500.3	613.7
"barA_b2786_at"	"barA"	232.2	163.5	211.1	261.7	182.9	271.4	229.6	521.6
"basR_b4113_at"	"basR"	409.6	567.3	618.9	585	395.7	463.3	595.2	390.5
"basS_b4112_at"	"basS"	330.7	357.5	416.2	367.8	321.5	331.4	319.1	487.2
"bax_b3570_f_at"	"bax"	1106.4	696	664.8	1084.7	1056.3	606.8	606.2	874.1
"bcp_b2480_at"	"bcp"	1249.1	627.5	875.8	1062.5	1565.3	674.5	710.2	1046.1
"bcr_b2182_at"	"bcr"	241.9	288.8	279.9	293.4	308.3	279.1	295.7	454.6
"yhjO_b3533_at"	"bcsA"	227.5	170.1	253.1	237.5	220.3	240	281.6	271.7
"yjgI_b4249_at"	"bdcA"	37.1	53.2	74.9	130.2	54.8	206.5	213.8	121.9
"b4250_at"	"bdcR"	94.8	52.5	107.7	140.8	131.6	69	132.8	211.9
"IG_2768_4470420_4471800_fwd_at"	"bdcR"	122.1	187.9	259.6	297.8	179.9	197.9	308.4	225.7
"IG_2771_4471966_4472036_fwd_at"	"bdcR"	328.3	569.4	720.8	1193.8	369.4	504.1	712	776.5
"yjgJ_b4251_at"	"bdcR"	81.1	6.8	26.3	15.4	57.7	13.4	21.5	116.1
"ymfO_b1151_at"	"beeE"	158.7	185.2	203.6	564.4	175.1	228.1	397.4	508.3
"betA_b0311_at"	"betA"	459.4	719	784.3	706.8	389.3	674	606	812.4
"betB_b0312_at"	"betB"	940	1117.1	1342.8	426.5	664.3	1282.4	1006	506.7
"betI_b0313_at"	"betI"	1675.7	1526.4	2258.6	2093.6	1729.6	1926.3	2968.8	1435.5
"betT_b0314_at"	"betT"	622.3	730.8	1032.9	939.3	720.4	656.8	1040.9	715.6
"bfr_b3336_at"	"bfr"	6054.7	3419.4	2446.4	1778.2	4314	2200.7	1851.5	1322.8
"bglA_b2901_at"	"bglA"	649.1	478.6	382.7	341.3	512.5	662	364	449.1
"bglB_b3721_at"	"bglB"	87.8	62.9	63.1	153.4	89.2	155.4	102.5	266.2
"bglF_b3722_at"	"bglF"	40.8	34.1	86.3	187.7	61.9	61.4	130.8	234.9
"bglG_b3723_at"	"bglG"	85	48.9	36.2	73	55.6	127.9	79.1	180.5
"yieC_b3720_at"	"bglH"	30.7	21.6	46.5	122.2	6.6	86.7	105.4	212
"bglJ_b4366_at"	"bglJ"	58.8	78.2	168.9	70.3	76.8	249.1	230.3	269.1
"bglX_b2132_at"	"bglX"	491.8	333.8	247.8	312.9	349.8	325.4	282.9	329.1
"bioA_b0774_at"	"bioA"	207.7	480.8	211.9	787.2	491.7	390.2	450.9	790.3
"bioB_b0775_at"	"bioB"	303	227.3	285	835.6	869.7	290	291	821.1
"bioC_b0777_at"	"bioC"	64.6	58.3	121.5	293	208	140.2	131.6	312.2
"b1593_at"	"bioD"	644.6	663.8	245.9	307.4	571.7	584.2	335.3	523.5
"bioD_b0778_at"	"bioD"	109.8	63.7	156.4	324.6	306	133.8	97.1	401.6
"bioF_b0776_at"	"bioF"	96.9	84.6	169.4	210.9	240.7	83.2	10.4	285.9
"bioH_b3412_at"	"bioH"	406.5	303.1	368.8	473.3	429.9	305.5	306.6	428.3
"birA_b3973_at"	"birA"	320.2	297.8	198.8	312.9	301.5	441.9	304.3	584
"bisC_b3551_at"	"bisC"	202	271.6	311.7	276.3	241.8	303.1	303.3	335.2
"blc_b4149_at"	"blc"	1578.4	1360.6	1392.3	965.8	1170.5	1122.9	943.6	939
"b1163_at"	"bluF"	79.1	122.4	75.7	151.2	65.9	193.7	129.4	216.9
"bolA_b0435_at"	"bolA"	1356.7	1335.1	1661.1	3134.7	1550.2	1169.1	1625.3	2670.7
"brnQ_b0401_at"	"brnQ"	267.6	533.7	598.6	624.6	307.6	464.6	460.1	630.5
"b0836_at"	"bssR"	2229	13994.3	6351.6	10809	1988	6376.2	5524.7	7792.7
"yceP_b1060_at"	"bssS"	753.7	1823	1445.3	2733.3	1775.4	815.2	1526.1	2210.6
"btuB_b3966_at"	"btuB"	64.1	77.8	74.8	136.1	88.8	129.8	92	242.2
