baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
ANKRD27	0	NA	NA	NA	NA	NA
ANO8	0	NA	NA	NA	NA	NA
AP1M1	0	NA	NA	NA	NA	NA
AP1M2	0	NA	NA	NA	NA	NA
AP2A1	0	NA	NA	NA	NA	NA
AP2S1	0	NA	NA	NA	NA	NA
AP3D1	0	NA	NA	NA	NA	NA
APBA3	0	NA	NA	NA	NA	NA
APC2	0	NA	NA	NA	NA	NA
APLP1	0	NA	NA	NA	NA	NA
APOC1	0	NA	NA	NA	NA	NA
APOC1P1	0	NA	NA	NA	NA	NA
APOC2	0	NA	NA	NA	NA	NA
APOC4	0	NA	NA	NA	NA	NA
APOC4-APOC2	0	NA	NA	NA	NA	NA
APOE	0	NA	NA	NA	NA	NA
ARHGAP33	0	NA	NA	NA	NA	NA
ARHGAP35	0	NA	NA	NA	NA	NA
ARHGEF18	0	NA	NA	NA	NA	NA
ARID3A	0	NA	NA	NA	NA	NA
